Well,Day,Area (um2),Perimeter (um),Equivalent diameter (um),Equivalent volume (um3),Form factor,Solidity,Eccentricity,Normalized mean intensity,Normalized median intensity,Normalized sum intensity,Normalized upper quartile intensity,Normalized lower quartile intensity,Granularity,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Angular second moment,Organoid_index,Condition
E12,T10,76515.8098,1389.422925,312.1265045,8955979.595,0.498071994,0.960242194,0.546583413,0.920222776,1.326086957,104708.4688,0.744897959,1.62962963,2.174765875,5.779449798,1.681043499,0.457861479,0.048661207,0.99016366,0.002382662,15_0,BHB TREAT 5.0
E12,T10,84823.14996,1523.934997,328.6338218,10453408.48,0.458977477,0.937544176,0.20200499,0.900910616,1.065217391,114906.6445,0.836734694,1.259259259,1.55891027,10.62443206,2.16107958,0.422975533,0.04699703,0.993498112,0.002219357,24_0,BHB TREAT 5.0
E12,T10,30423.68045,913.7996851,196.8162418,2245452.919,0.457846192,0.943762146,0.668268173,1.040028591,1.434782609,38998.99212,0.795918367,2.074074074,2.533830238,22.15500049,3.517439801,0.26485075,0.03437248,0.963282161,0.001191397,25_0,BHB TREAT 5.0
E12,T10,103089.3161,1750.46867,362.2946231,14005764.35,0.422780393,0.941895153,0.665224168,0.484096226,0.543478261,76039.89872,0.357142857,0.703703704,3.361474738,8.788723067,1.390634576,0.642379059,0.1431607,0.98700686,0.020517168,29_0,BHB TREAT 5.0
E12,T10,59785.45007,1319.882612,275.9007054,6185567.943,0.431255604,0.951861632,0.512218977,1.222751448,1.760869565,103503.4645,1.020408163,2.185185185,1.561464807,23.75377321,3.459054289,0.285700698,0.027556172,0.983716393,0.000765906,30_0,BHB TREAT 5.0
E12,T10,104598.6072,1738.931934,364.9370947,14314466.94,0.434680943,0.956075655,0.491936223,0.791401234,0.869565217,127660.933,0.663265306,1.111111111,1.812245539,9.22150194,1.927232275,0.474279007,0.065192654,0.994284986,0.004268357,34_0,BHB TREAT 5.0
E12,T10,30024.13163,883.6306721,195.5195941,2201364.761,0.483213161,0.948687831,0.557297737,1.260442167,1.804347826,47668.66231,0.948979592,2.666666667,2.402126105,27.76591971,3.943762623,0.241274777,0.033520507,0.947814018,0.001134881,36_0,BHB TREAT 5.0
E12,T10,104095.8568,1738.232113,364.059008,14211387.89,0.432940057,0.936524308,0.414277504,0.962283683,1.108695652,153796.0274,0.826530612,1.333333333,1.371691915,12.10368163,2.252616127,0.416515971,0.045529749,0.994619314,0.002082571,40_0,BHB TREAT 5.0
E12,T10,31299.20449,864.0086999,199.6281165,2343075.465,0.5268742,0.956239626,0.237881454,1.082262214,1.52173913,43227.71735,0.826530612,2.185185185,1.431059304,14.45342284,2.842957022,0.309093688,0.040242167,0.964246777,0.001631861,41_0,BHB TREAT 5.0
E12,T10,62253.97034,1303.959565,281.5390148,6572595.554,0.460096225,0.941433845,0.483372051,0.642959597,0.760869565,57198.32875,0.530612245,0.925925926,1.472311863,8.468014949,1.789412821,0.502496524,0.074627377,0.991069465,0.005587302,46_0,BHB TREAT 5.0
E12,T10,62691.73236,1324.823805,282.527154,6642043.772,0.448852748,0.953669908,0.556016076,0.662135667,0.826086957,59632.60031,0.510204082,1.185185185,1.399895671,4.885930281,1.432823784,0.526627361,0.07555764,0.989082766,0.005734834,47_0,BHB TREAT 5.0
E12,T10,102034.684,1761.565445,360.4366721,13791390.72,0.413199819,0.928090929,0.378372496,0.70180325,0.804347826,108639.8449,0.551020408,0.962962963,1.364093636,9.553316116,1.738535362,0.536565418,0.083607898,0.993482561,0.007011808,50_0,BHB TREAT 5.0
E12,T10,43613.99079,1385.114231,235.650287,3854118.543,0.285669917,0.864196641,0.709737948,1.081916827,1.52173913,57630.46363,0.806122449,2.259259259,0.892795693,10.76173322,2.46370232,0.33640217,0.044383433,0.970715583,0.001983422,53_0,BHB TREAT 5.0
E12,T10,102333.1108,1715.828443,360.9633824,13851939.68,0.43679566,0.949046997,0.595344546,0.646350386,0.782608696,101132.5059,0.489795918,1.037037037,2.954503619,10.6119122,2.106482888,0.431726432,0.059794256,0.988165168,0.003592283,58_0,BHB TREAT 5.0
E12,T10,92671.41191,1664.522897,343.5009553,11937269.45,0.420316168,0.919310334,0.600838112,0.561847272,0.717391304,77937.76809,0.448979592,1,1.430027989,2.343215823,0.962311041,0.629161864,0.095153381,0.991945967,0.009085444,8_0,BHB TREAT 5.0
F01,T10,50955.60298,1200.533732,254.7129536,4867144.552,0.444276227,0.920730504,0.515553791,0.756212954,0.869565217,52741.31623,0.6,1.24,1.34209587,5.874806169,1.602744255,0.493729406,0.066077595,0.990174506,0.004388616,17_0,BHB TREAT 2.0
F01,T10,60470.42805,1273.560711,277.4767383,6292176.427,0.468504322,0.95016747,0.452693803,0.495587549,0.586956522,42838.09215,0.4,0.88,0.630919735,0.697498941,0.511130047,0.762591034,0.152175821,0.994403061,0.023203188,23_0,BHB TREAT 2.0
F01,T10,24141.37956,934.061443,175.3218729,1587191.954,0.347713104,0.837259622,0.233555402,1.048469163,1.347826087,26450.78006,0.882352941,1.8,2.188665573,16.65518632,2.9970439,0.309126564,0.035522465,0.976739188,0.001272173,24_0,BHB TREAT 2.0
F01,T10,117626.4465,1854.649209,386.9969551,17070403.74,0.429725657,0.949105828,0.610353232,0.766030019,0.891304348,139676.3816,0.764705882,0.92,1.238696305,5.671757721,1.481753288,0.535490778,0.06816808,0.994034085,0.004660086,25_0,BHB TREAT 2.0
